Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales
G,8/4/2018,139,116,748047,686537.4955,150095,42195,971,135010
G,8/11/2018,329,157,778856,856919.5914,172206,32540,928,105014
G,8/18/2018,275,633,1139441,991993.4176,263351,36650,467,147425
G,8/25/2018,865,104,1150900,1004876.033,505580,44287,465,191454
G,9/1/2018,361,12,1225403,795415.9635,400878,34909,24,153066
G,9/8/2018,332,655,1073028,833852.1345,467293,31465,438,136017
G,9/15/2018,474,341,1239577,810605.0284,349478,25330,662,145093
G,9/22/2018,79,739,1180122,785027.2191,345344,15733,806,163221
G,9/29/2018,860,968,1437947,692672.5978,316606,24533,570,192080
G,10/6/2018,181,2207,1378465,636695.7819,163448,20045,1584,197544
G,10/13/2018,66,3894,1148811,630463.8124,194468,19264,3558,218699
G,10/20/2018,28,3540,1483816,620644.4048,178833,18977,3563,237493
G,10/27/2018,313,4085,1259771,656656.2147,192061,15293,4614,198515
G,11/3/2018,186,4648,1345679,643690.3896,281578,17732,4120,272407
G,11/10/2018,755,10980,2535731,1335722.283,412029,20292,11279,388591
G,11/17/2018,125,8159,3790146,1312044.64,668183,15473,8295,425213
G,11/24/2018,1876,5141,4263708,1335482.979,1045732,17946,6886,694811
G,12/1/2018,3937,3142,2923486,1650621.262,209272,22768,7516,554274
G,12/8/2018,41784,3714,1440066,1021028.646,112890,23233,45958,411348
G,12/15/2018,35968,6267,1053950,847156.7312,209800,17236,41625,415019
G,12/22/2018,20386,6446,912199,826929.2493,80065,16385,26956,241496
G,12/29/2018,19623,5530,910697,1164875.4,54256,22277,24584,121593
G,1/5/2019,13678,6151,824549,1163641.077,24665,25203,19812,149876
G,1/12/2019,21089,6112,786343,871893.5061,60411,38362,25614,108286
G,1/19/2019,22261,4848,876017,1094580.22,135827,41037,25653,155663
G,1/26/2019,23734,6539,877299,891633.2001,490818,50315,29434,146991
G,2/2/2019,14801,4930,964030,857338.4937,363977,43637,19687,145169
G,2/9/2019,18601,5056,762875,861298.6744,193521,41959,23312,122951
G,2/16/2019,29210,7860,576508,1100456.673,212866,42396,36545,186926
G,2/23/2019,11444,5489,654894,722437.6015,82442,36546,16677,154498
G,3/2/2019,806,6437,958870,992377.8586,43606,39810,6593,148065
G,3/9/2019,714,5932,966929,925421.801,65072,42529,5455,127330
G,3/16/2019,217,7738,954340,851266.7956,130853,48185,8210,170598
G,3/23/2019,128,12799,1194344,849977.2074,177521,40626,12255,153624
G,3/30/2019,676,16773,785623,1043523.095,233553,44081,16402,141684
G,4/6/2019,7240,16922,896877,873678.9458,101042,33288,23173,138984
G,4/13/2019,7560,15815,1206188,847899.8046,187114,30488,22905,127948
G,4/20/2019,12297,16607,1140064,921425.2763,255231,25061,28764,162429
G,4/27/2019,17113,12253,970876,1070033.804,236866,29383,28809,148999
G,5/4/2019,24093,13878,1155607,762927.1952,143549,20617,37781,152806
G,5/11/2019,27202,17143,960298,626467.2547,192949,21595,44010,146477
G,5/18/2019,31159,20461,805133,739482.8609,295986,18722,51703,120552
G,5/25/2019,31609,19077,1130337,719087.9219,355174,20247,49753,154975
G,6/1/2019,38886,23328,1042873,628599.1925,116108,17975,61275,145635
G,6/8/2019,136999,28747,989308,584548.8121,278778,23002,165695,119926
G,6/15/2019,91214,30801,739750,628513.8939,313032,25999,121104,156658
G,6/22/2019,47174,29293,493101,756011.6076,296942,19517,75597,147261
G,6/29/2019,50722,28521,846076,777520.9032,191307,17175,79055,135833
G,7/6/2019,45487,28249,1111815,725161.1825,154608,20878,71827,112109
G,7/13/2019,41004,46006,1341611,457880.1264,371472,28162,86847,174900
G,7/20/2019,38221,62336,1109716,964435.3586,213905,27485,100022,152464
G,7/27/2019,53711,48604,1102457,610278.704,278630,23543,102178,122627
G,8/3/2019,94722,65095,532413,481058.1403,105005,19652,159072,149967
G,8/10/2019,54392,73864,653018,587587.4618,142959,23065,127420,104943
G,8/17/2019,54324,69041,783933,641898.3733,201995,22246,122713,147229
G,8/24/2019,50526,47171,994927,637316.1003,144059,22014,97372,197184
G,8/31/2019,46484,28374,641018,691867.5893,152736,22574,73815,166605
G,9/7/2019,50654,24969,1045355,862150.211,351423,19294,75390,180140
G,9/14/2019,49413,18101,635478,1097394.198,320715,20644,68333,189695
G,9/21/2019,53241,18712,645495,1112694.128,536964,19972,71285,141284
G,9/28/2019,66463,26860,1214695,657685.8326,1372478,22386,93544,154270
G,10/5/2019,15106,33244,1257321,950806.9586,435007,18780,47803,257866
G,10/12/2019,15921,19527,1077742,1013019.505,485952,18870,34817,225622
G,10/19/2019,27935,20387,986826,902248.3492,412557,23739,48214,237352
G,10/26/2019,22239,18756,1817263,886251.7124,373598,20924,41533,213944
G,11/2/2019,24963,23858,2140817,811588.2879,405972,23477,47318,200922
G,11/9/2019,22703,29300,4421818,1305682.899,646674,18752,52655,369250
G,11/16/2019,24605,43157,4822663,1686932.43,1079054,19976,67863,407521
G,11/23/2019,16984,36882,4073091,913763.0425,2155012,20715,53873,431682
G,11/30/2019,18388,28554,4571384,1684522.162,1250009,18176,45637,799632
G,12/7/2019,17658,24910,2101708,1544089.679,1334847,21873,41589,742400
G,12/14/2019,18563,27378,758020,921884.8168,1261106,13073,44883,579378
G,12/21/2019,16804,24153,580352,933714.1617,632271,14457,40732,355045
G,12/28/2019,16308,27903,1125913,637977.0727,187673,18654,44016,207646
G,1/4/2020,58915,33231,581218,737450.4039,175811,17532,92022,225177
G,1/11/2020,17112,41265,524230,978705.5369,245530,20478,58319,173959
G,1/18/2020,36140,37424,598420,927521.1001,295195,22036,72282,215301
G,1/25/2020,45307,35633,1067635,767321.5532,237373,19019,79901,144437
G,2/1/2020,55370,44359,1141983,2390847.877,82356,17532,99895,143300
G,2/8/2020,51961,46828,1190444,875676.4474,313676,17201,97942,137035
G,2/15/2020,50752,55533,828186,692635.3786,552245,17066,106118,239811
G,2/22/2020,41155,53134,847529,997311.3995,521689,21198,94226,228270
G,2/29/2020,33170,49669,804310,718683.9945,297253,18257,82159,182096
H,1/6/2018,245,342,838,356965.3929,86418,21437,982,54781
H,1/13/2018,856,260,111,516581.6084,14883,16324,993,53636
H,1/20/2018,621,301,953,438567.3407,44766,23121,424,50885
H,1/27/2018,387,845,951,426611.6424,74066,15343,968,62022
H,2/3/2018,414,1,333,416810.7293,46515,13945,370,53573
H,2/10/2018,413,275,158,443161.8754,44874,16641,376,52246
H,2/17/2018,944,376,814,646906.8262,109934,15159,253,73268
H,2/24/2018,285,311,639,565983.6234,544,14564,820,75806
H,3/3/2018,630,325,378,432213.8355,11871,15234,367,73274
H,3/10/2018,881,812,542,481693.5899,61835,15384,543,77425
H,3/17/2018,642,520,128,475191.0061,7475,14812,117,66919
H,3/24/2018,491,687,900,432993.8387,60690,18260,997,65618
H,3/31/2018,284,336,638,436428.1414,43720,16496,501,56295
H,4/7/2018,239,569,95522,428198.9143,70574,15324,337,48906
H,4/14/2018,644,779,160146,517573.2172,53553,15444,307,51691
H,4/21/2018,210,810,152008,420183.1191,39929,19510,436,65918
H,4/28/2018,988,332,152232,482801.8456,25197,13186,183,54791
H,5/5/2018,951,45,165215,408286.4066,49453,11460,565,62681
H,5/12/2018,580,364,225611,354627.6697,48764,14151,667,60925
H,5/19/2018,744,826,229232,387209.602,5130,13183,976,56834
H,5/26/2018,43,284,223187,466922.6989,15715,12665,859,52712
H,6/2/2018,502,806,176646,340899.4676,51172,15924,459,57809
H,6/9/2018,582,914,175215,384145.1432,83354,15242,924,58353
H,6/16/2018,990,256,160560,345333.9168,44738,16013,307,55338
H,6/23/2018,635,86,165255,403427.9542,29345,16466,553,50343
H,6/30/2018,605,738,197350,380055.2941,38264,17854,176,70373
H,7/7/2018,72,905,276094,330768.3755,31819,16568,125,43295
H,7/14/2018,906,646,329194,472991.5266,111024,25893,643,65756
H,7/21/2018,949,350,252211,359460.0478,96153,12683,605,82776
H,7/28/2018,986,181,251791,375237.9138,62755,13422,431,57086
H,8/4/2018,717,857,242849,292610.1843,67497,15208,809,51240
H,8/11/2018,432,581,288748,365082.0572,81655,17883,573,58087
H,8/18/2018,898,5,438441,421807.4716,134160,16113,71,70678
H,8/25/2018,567,978,397364,427685.72,253742,15508,921,79981
H,9/1/2018,891,413,436820,339018.1641,198578,13817,927,67324
H,9/8/2018,42,465,382993,354670.9997,231031,11719,775,68750
H,9/15/2018,457,463,420182,344971.7471,174343,10260,551,70226
H,9/22/2018,591,277,404997,333995.6279,192671,7180,534,71916
H,9/29/2018,769,697,483113,295298.6591,178170,8283,649,77090
H,10/6/2018,205,1087,446019,271029.8175,78837,8270,974,88864
H,10/13/2018,676,1435,387315,268987.7422,102167,7908,1706,83919
H,10/20/2018,420,1863,543887,264635.1704,89407,7180,2018,98324
H,10/27/2018,793,1862,501963,279233.2973,92051,5962,1908,92196
H,11/3/2018,746,1227,497040,274235.6293,138274,6186,1358,122768
H,11/10/2018,948,4288,880592,569268.9955,193530,6879,3599,188193
H,11/17/2018,878,2902,1394712,558559.0853,312953,4379,3739,201343
H,11/24/2018,528,2009,1561691,568085.4829,604582,5515,2578,323626
H,12/1/2018,1066,1199,957277,702676.5824,110837,7329,2027,239363
H,12/8/2018,15494,1585,440280,434588.8945,54192,6753,17113,178956
H,12/15/2018,12696,2407,307010,360681.831,100665,5510,14620,187494
H,12/22/2018,5325,3063,288194,351811.1983,45669,5779,7934,102617
H,12/29/2018,5077,2577,323861,496218.8481,28251,8020,7513,52394
H,1/5/2019,3592,2576,283753,495545.2055,12489,8941,6216,67668
H,1/12/2019,5949,2090,267835,371532.9468,34927,14330,7267,50983
H,1/19/2019,6904,1903,289581,466397.9597,76452,13932,7798,71641
H,1/26/2019,6932,2862,282885,379166.387,256739,16351,8958,63682
H,2/2/2019,4571,1502,317815,365046.1557,180465,14254,5721,65744
H,2/9/2019,5177,2119,265143,366531.3774,87714,14100,7354,61676
H,2/16/2019,8009,3564,207776,468564.6821,101995,12684,10234,91855
H,2/23/2019,3109,2100,217618,307969.5129,39616,11686,5034,77445
H,3/2/2019,83,2213,328689,422667.9873,22172,14867,2148,75120
H,3/9/2019,196,1441,327340,394308.078,33702,13622,1681,66345
H,3/16/2019,687,2548,319576,362118.2152,67463,17798,2170,89354
H,3/23/2019,230,4607,403910,362433.2927,98118,13236,3718,77991
H,3/30/2019,527,5734,251552,444631.1192,123916,14079,4978,62523
H,4/6/2019,2390,6275,283485,371767.1264,51255,10757,7383,57033
H,4/13/2019,1932,5756,408783,361286.1847,95675,10666,7690,62065
H,4/20/2019,3270,6383,385995,392307.4907,141896,8001,9422,87542
H,4/27/2019,4893,4086,322865,455215.5447,139685,10466,8344,81431
H,5/4/2019,6396,5149,371857,324425.3761,77621,7335,10603,77234
H,5/11/2019,7708,6183,327499,266338.6787,105845,7567,12931,77227
H,5/18/2019,8163,7824,282241,314480.1722,154462,6542,15519,58332
H,5/25/2019,8095,6210,383096,305585.1613,186122,7305,14394,73945
H,6/1/2019,10409,7657,364790,268270.4227,59020,7174,17418,71325
H,6/8/2019,44166,11407,348059,248803.0692,145523,9035,55780,53676
H,6/15/2019,29344,11714,249963,267780.3332,174282,9594,40947,78561
H,6/22/2019,12660,10298,158090,321828.1888,152616,7874,23553,67781
H,6/29/2019,13696,9228,293932,331459.2748,92218,6302,23104,73754
H,7/6/2019,12065,10315,379586,308324.668,80608,8476,22039,59951
H,7/13/2019,11732,16208,465560,194890.7339,190923,11282,28491,84207
H,7/20/2019,11510,22720,373328,410328.5253,112609,10508,33125,76557
H,7/27/2019,16430,18980,367901,260614.6126,142801,8548,35634,48616
H,8/3/2019,32578,23247,175113,204400.7212,52746,7105,55751,60485
H,8/10/2019,15882,26753,226841,250853.417,66802,8959,42109,44133
H,8/17/2019,16113,24725,277563,273454.3189,102676,7976,40677,71433
H,8/24/2019,15922,18669,333465,270933.1079,77689,8194,34416,102248
H,8/31/2019,15727,11197,226187,294774.6159,79503,8749,25284,71623
H,9/7/2019,17258,9536,345480,367143.7073,199641,6652,26874,85582
H,9/14/2019,16308,7766,213298,467230.4144,179439,8095,23524,89146
H,9/21/2019,17044,7559,210632,473659.691,273792,6607,23395,77198
H,9/28/2019,20914,9686,388928,279990.7809,730340,7433,29672,75707
H,10/5/2019,5671,10164,395734,404908.3958,213825,8954,15090,114893
H,10/12/2019,4608,6106,333701,431560.0641,252670,6235,10746,102433
H,10/19/2019,8395,6137,320309,384449.2332,208965,6638,13598,116509
H,10/26/2019,6353,7010,636352,377272.9425,208736,6963,12436,105678
H,11/2/2019,7139,8419,777335,345520.2295,223006,6640,14351,97429
H,11/9/2019,6949,10004,1692079,556045.5269,352391,6299,16152,196814
H,11/16/2019,8137,15592,1832671,717646.5248,625380,5900,23520,197943
H,11/23/2019,5148,13890,1466450,389156.3241,1288154,6769,18905,204399
H,11/30/2019,5422,9666,1545544,717170.319,749088,5858,15005,388875
H,12/7/2019,4949,9035,667021,656795.8743,762174,5530,14057,350312
H,12/14/2019,5196,10213,222687,392745.0444,723619,3920,14481,265962
H,12/21/2019,4814,8768,179749,397511.3985,365490,4941,13391,165910
H,12/28/2019,4261,10419,397284,272418.645,102499,7436,14646,101406
H,1/4/2020,17040,12520,195266,313723.2313,93994,7613,29790,118867
H,1/11/2020,5048,15640,184298,416231.5391,129941,8525,20369,83030
H,1/18/2020,10866,14654,214181,394324.3148,148093,8444,26000,98790
H,1/25/2020,14346,14179,368242,326553.8937,124579,9034,28173,80834
H,2/1/2020,18626,15887,397768,1018170.957,41344,8045,33672,68251
H,2/8/2020,16275,17112,416264,372815.868,182771,7229,33415,71155
H,2/15/2020,15934,19431,290663,294581.6116,320299,9803,35512,120622
H,2/22/2020,12430,18938,308907,424819.5325,301129,10438,31996,108857
H,2/29/2020,10724,18148,287330,306094.4823,169159,9762,27812,95032
I,1/6/2018,842,192,957,513421.5453,83201,35192,223,67174
I,1/13/2018,745,187,438,743243.1377,15905,33371,904,71145
I,1/20/2018,211,758,155,630645.0709,44422,41428,192,74516
I,1/27/2018,70,350,633,613396.6231,72299,28378,711,71793
I,2/3/2018,635,807,487,598999.8962,41923,27872,292,70728
I,2/10/2018,191,110,693,637747.0546,39964,32988,598,67907
I,2/17/2018,279,969,649,931049.9276,113872,31130,444,100065
I,2/24/2018,910,141,757,814496.6159,765,23368,731,98886
I,3/3/2018,563,745,877,621385.0983,9963,28839,752,88514
I,3/10/2018,123,743,671,692765.862,77347,30732,837,100457
I,3/17/2018,909,914,568,682812.4883,10907,34802,385,97977
I,3/24/2018,499,211,409,622706.4097,70507,32134,886,99526
I,3/31/2018,831,760,71,627333.3069,36424,30776,429,83337
I,4/7/2018,211,78,45350,614910.6104,88032,27948,603,71172
I,4/14/2018,872,435,81517,745043.2074,62918,27983,947,76308
I,4/21/2018,943,470,76055,604632.9749,45265,38988,45,85278
I,4/28/2018,98,108,78836,694748.5976,28146,25466,674,80231
I,5/5/2018,174,3,90937,586645.1185,49656,26988,7,71496
I,5/12/2018,306,377,116581,510317.6647,36495,26499,97,89317
I,5/19/2018,320,223,110977,555605.6238,5895,23566,360,71570
I,5/26/2018,159,581,114053,671628.6501,16317,26912,623,74209
I,6/2/2018,703,362,87564,490287.3044,54094,29637,469,82087
I,6/9/2018,32,567,77545,551876.1861,80527,24576,18,72208
I,6/16/2018,349,267,70777,496422.6517,41909,23368,455,76920
I,6/23/2018,598,733,76877,579462.2501,28527,30754,610,58669
I,6/30/2018,11,845,90457,545848.5187,35957,29938,164,74816
I,7/7/2018,462,395,125033,475868.7144,29906,27381,78,56966
I,7/14/2018,953,649,144045,680276.013,120793,32893,58,84105
I,7/21/2018,857,275,117954,517128.4388,108017,28717,538,106031
I,7/28/2018,428,710,119452,539662.3063,69026,28954,978,85071
I,8/4/2018,243,372,117346,420188.5047,78482,28889,203,73719
I,8/11/2018,798,119,125367,524291.4605,96825,25391,527,65031
I,8/18/2018,646,28,190087,606621.5775,153316,24316,61,97056
I,8/25/2018,448,350,189105,615444.9835,289173,31049,13,104584
I,9/1/2018,540,820,203789,487051.5,226533,24337,422,88717
I,9/8/2018,159,78,198707,510295.9734,244083,22650,302,83527
I,9/15/2018,376,927,220699,496531.1762,198620,17158,243,101904
I,9/22/2018,252,242,207446,480792.6113,192991,10538,204,98829
I,9/29/2018,584,271,257536,424303.3896,187747,12809,619,106546
I,10/6/2018,88,1064,249148,389199.7475,91489,12513,1119,118505
I,10/13/2018,458,1425,187717,386440.1993,108860,13931,1818,114778
I,10/20/2018,683,1750,285516,379666.2718,103072,12874,1576,125551
I,10/27/2018,186,1826,256967,401501.8825,104546,10955,2204,124269
I,11/3/2018,853,2077,249754,394230.355,149116,10875,2375,152733
I,11/10/2018,507,4924,417055,817682.7959,242693,12639,4719,236844
I,11/17/2018,555,4010,641908,802719.25,291131,9037,3996,259482
I,11/24/2018,900,1789,797311,817472.5954,588103,9753,2369,407401
I,12/1/2018,2139,1268,552061,1009850.466,126197,11937,3326,338723
I,12/8/2018,14947,2181,220580,624509.4852,64957,12441,16085,253674
I,12/15/2018,13412,2920,155652,519150.2601,122808,7857,15444,262319
I,12/22/2018,6849,2777,143626,505846.5249,47739,9473,8782,154344
I,12/29/2018,5843,2665,149520,713661.4313,32327,13079,8971,76799
I,1/5/2019,4492,2969,145399,712621.3725,12441,13982,6077,82318
I,1/12/2019,6826,2781,128259,534373.2299,31510,22092,9030,71474
I,1/19/2019,6682,2240,140390,669864.5886,77281,24746,9063,89180
I,1/26/2019,8154,2819,133186,545267.9121,253383,26341,10377,81899
I,2/2/2019,5677,1808,153922,524611.7226,177664,26640,6857,80479
I,2/9/2019,7092,2109,147780,526863.6644,101467,23722,9155,79947
I,2/16/2019,10346,3651,106931,673050.9813,124652,21413,13732,113573
I,2/23/2019,4077,2511,118791,442338.1706,52441,19995,6767,92219
I,3/2/2019,90,2829,168104,607160.8684,26268,20533,2968,88853
I,3/9/2019,506,2204,169870,566884.7642,37933,21349,2811,83042
I,3/16/2019,300,3101,174900,520947.5184,75680,30698,3429,99108
I,3/23/2019,330,5608,211375,520592.6126,105461,22593,6393,102201
I,3/30/2019,154,6665,131311,638682.46,139576,23631,7613,93971
I,4/6/2019,2751,8047,145767,534592.8811,55155,18492,10367,79012
I,4/13/2019,2414,6713,209120,519019.1131,111249,18104,8881,83243
I,4/20/2019,4691,6551,201766,564165.1746,150383,14354,11097,96883
I,4/27/2019,5369,4837,169504,654994.9989,127000,18751,9963,90160
I,5/4/2019,7770,6194,200557,466819.4521,87141,11572,13156,83826
I,5/11/2019,8833,7265,179059,383112.0266,112805,11915,15601,90072
I,5/18/2019,10106,8901,145272,452573.0503,171462,12705,18540,79880
I,5/25/2019,10453,7012,194276,440109.2799,189676,10145,16684,85189
I,6/1/2019,11913,9365,186237,384624.2593,65715,10709,21309,80284
I,6/8/2019,54477,12401,164461,358127.3744,153069,14166,65798,69510
I,6/15/2019,35722,13553,127572,384128.7301,162066,16409,48436,89210
I,6/22/2019,17645,13749,80242,462519.7068,156601,11077,30647,84918
I,6/29/2019,18103,12536,144900,475994.1189,95922,9767,30244,75030
I,7/6/2019,16447,11762,198718,443592.5799,81975,10788,27314,70493
I,7/13/2019,15364,20352,229774,280089.9502,208806,15824,35753,103521
I,7/20/2019,13961,27347,198945,589820.8027,112108,14114,40392,88655
I,7/27/2019,20331,23772,202282,373826.2175,137808,12156,43700,71120
I,8/3/2019,36507,29431,98182,294273.7714,58398,12390,65658,85346
I,8/10/2019,20278,32528,119162,360481.701,82862,11487,52106,67786
I,8/17/2019,20430,31845,141442,393341.1479,119736,12239,51490,98352
I,8/24/2019,19500,21640,175866,389491.4986,88492,12640,40848,116296
I,8/31/2019,19110,13291,121195,423200.3274,85755,10705,31372,91211
I,9/7/2019,20089,11829,179611,527849.9588,210287,8856,31672,107945
I,9/14/2019,19213,9113,106610,671625.5415,188725,9726,28028,118589
I,9/21/2019,18813,8720,108466,680851.2292,313764,10221,27821,87858
I,9/28/2019,22827,10965,201962,402510.5342,894880,11548,34096,99342
I,10/5/2019,6719,12462,226563,581859.4581,249886,10792,18805,160106
I,10/12/2019,6357,7973,183972,619641.6977,283553,9431,13470,156731
I,10/19/2019,9898,7854,168457,551849.3985,251488,11315,17908,143782
I,10/26/2019,7948,9179,331360,542756.8377,219699,11777,16444,125579
I,11/2/2019,8675,10715,396712,496914.3566,235994,9225,19821,117692
I,11/9/2019,8254,13935,778189,799211.6737,396417,9573,21389,245721
I,11/16/2019,10082,19983,858052,1032025.82,614839,9044,29387,253605
I,11/23/2019,6173,18432,739486,559219.0475,1207278,9520,23320,257747
I,11/30/2019,6790,12962,842075,1030809.847,676205,10645,19199,467506
I,12/7/2019,7605,12817,371216,944591.8032,759443,9049,19788,483584
I,12/14/2019,7453,14006,128177,564763.5828,692252,6793,20312,388475
I,12/21/2019,6439,12114,101626,571482.0985,304750,7183,18685,240110
I,12/28/2019,6964,12955,207998,390730.7764,119868,11004,19280,125268
I,1/4/2020,23746,15967,104059,451563.1885,98495,9791,39031,132576
I,1/11/2020,6992,20910,92588,598820.862,136639,11205,27011,101193
I,1/18/2020,14620,19530,109029,568018.6651,165782,12769,34877,113130
I,1/25/2020,19471,18402,186338,469408.209,131693,12554,37370,93176
I,2/1/2020,22043,22106,201885,1463538.804,47666,11026,44114,99684
I,2/8/2020,21191,22468,212286,536544.0354,171676,9279,44126,95393
I,2/15/2020,19658,26377,160374,423722.6608,316885,11496,46203,146819
I,2/22/2020,18131,27272,154126,610484.3883,331037,12525,44696,132464
I,2/29/2020,12795,20405,148002,439492.1249,178118,10444,33584,117967
J,1/6/2018,152,740,708,381381.4745,56793,21507,886,48639
J,1/13/2018,948,429,226,552014.3451,10662,19701,83,54685
J,1/20/2018,370,157,635,467833.4886,32168,24883,28,51576
J,1/27/2018,459,899,325,455933.5807,52169,17252,881,53287
J,2/3/2018,914,570,534,445441.2869,29879,15245,121,49245
J,2/10/2018,436,292,370,474167.4217,29053,18506,491,49744
J,2/17/2018,881,505,684,691767.4446,76872,18595,968,87939
J,2/24/2018,35,654,786,605475.3818,854,13973,19,76540
J,3/3/2018,740,293,172,461204.288,10535,14354,5,68466
J,3/10/2018,856,623,234,514673.7783,55796,15961,143,72775
J,3/17/2018,39,500,562,507419.2965,7773,17578,772,70212
J,3/24/2018,349,117,663,462567.268,48281,19007,471,63280
J,3/31/2018,963,22,700,466038.2183,20171,17766,941,56060
J,4/7/2018,200,738,62869,457018.988,69595,14391,254,42565
J,4/14/2018,609,820,105692,553174.1969,38258,13891,724,47430
J,4/21/2018,633,879,99303,449211.2053,27226,18214,506,60455
J,4/28/2018,291,581,108899,515785.7323,18321,13756,614,57409
J,5/5/2018,17,643,120722,436041.8543,33085,13615,674,55105
J,5/12/2018,456,922,170986,379029.7682,27887,16323,630,61381
J,5/19/2018,812,720,162428,413160.5215,3736,13490,256,56040
J,5/26/2018,323,838,167550,498282.9737,11171,15588,537,51369
J,6/2/2018,24,931,133280,364456.8928,37486,17010,627,60713
J,6/9/2018,512,419,118807,409776.2573,56859,15652,496,53617
J,6/16/2018,865,698,108452,368709.4998,27500,15540,96,52792
J,6/23/2018,589,483,110776,429952.123,19004,17650,293,43800
J,6/30/2018,723,618,138165,405401.1538,25649,17744,614,66047
J,7/7/2018,3,84,183326,352910.6327,21782,18406,972,41550
J,7/14/2018,956,975,224156,504838.7826,84838,19623,721,61926
J,7/21/2018,547,125,176751,383534.4522,73447,16625,587,80848
J,7/28/2018,254,875,172526,400676.7731,50533,16291,933,63586
J,8/4/2018,926,760,160799,312800.6476,59816,16517,637,66553
J,8/11/2018,545,28,168961,389309.566,72814,13330,996,49532
J,8/18/2018,870,217,246765,451030.471,111702,14932,637,72269
J,8/25/2018,393,133,251374,457058.3096,206946,18403,822,81185
J,9/1/2018,745,927,261046,361358.9126,164170,15250,473,62351
J,9/8/2018,987,501,263527,379454.3318,186334,13554,317,66295
J,9/15/2018,304,406,282507,368873.5088,152072,11332,402,70511
J,9/22/2018,254,544,273463,357526.3225,150850,8527,917,67933
J,9/29/2018,510,603,336250,314888.5343,143820,10883,359,82173
J,10/6/2018,316,881,317032,289687.2405,65749,10171,968,79401
J,10/13/2018,635,1153,265170,287044.1985,80522,10187,1388,89222
J,10/20/2018,696,1869,348120,281847.6022,71524,9951,1951,111996
J,10/27/2018,840,1605,311372,299066.4199,75055,9266,1853,105861
J,11/3/2018,136,1569,302070,293219.5568,110199,8569,1943,111915
J,11/10/2018,173,4486,555452,606976.0561,166054,8981,4604,166361
J,11/17/2018,978,3592,827910,596153.643,224859,7271,2852,188731
J,11/24/2018,721,1819,937185,606661.889,439450,7213,2646,302174
J,12/1/2018,1296,1329,610103,750336.4017,87937,8821,2010,234525
J,12/8/2018,11587,1290,294456,464492.4737,45435,9761,13122,168226
J,12/15/2018,9644,2693,222125,385712.2056,83895,6573,11328,182772
J,12/22/2018,4193,3437,197103,376177.1254,36497,7218,6414,105427
J,12/29/2018,4509,3231,210186,529833.3819,22902,9444,7019,58898
J,1/5/2019,2795,2833,189674,528970.2551,9096,10744,5117,63052
J,1/12/2019,4900,2629,177626,397099.0187,25112,16794,6827,54473
J,1/19/2019,6082,2041,189403,497599.6397,54559,17240,7134,66956
J,1/26/2019,5740,1973,187701,405500.0128,196137,18849,7437,60461
J,2/2/2019,3514,1955,219100,389801.649,157161,16974,5269,54901
J,2/9/2019,4255,1726,191429,391429.4973,79244,15649,6323,54281
J,2/16/2019,6625,3314,140772,500463.6047,96311,16636,9628,88701
J,2/23/2019,2680,2628,142015,328795.9848,37493,15710,4258,72504
J,3/2/2019,4,1980,217881,451446.9218,18091,15796,2513,68785
J,3/9/2019,258,2409,210872,420635.8105,25459,15144,1588,64531
J,3/16/2019,245,2357,216422,386779.6217,54421,20410,2812,69168
J,3/23/2019,861,3963,269201,386083.3558,76340,17145,3772,71337
J,3/30/2019,641,5195,169411,474699.6142,93948,16373,5164,66845
J,4/6/2019,2106,5994,179468,397683.4677,37726,12993,6947,55666
J,4/13/2019,1971,5549,270747,385484.1681,72983,12506,6641,50211
J,4/20/2019,3270,5390,260096,419341.651,102655,12570,8417,70793
J,4/27/2019,3437,5126,211957,486666.1096,93822,11153,7726,82786
J,5/4/2019,5189,4623,266895,346851.1114,59840,9049,9523,72494
J,5/11/2019,6333,6654,232891,284980.2165,78739,10446,12620,75386
J,5/18/2019,7730,7534,186530,335969.6334,120377,8643,15448,53776
J,5/25/2019,7129,7082,256417,327325.5798,139359,7820,13825,68183
J,6/1/2019,9423,7968,248142,286352.889,43813,9449,17053,66121
J,6/8/2019,41142,11028,220812,266021.4621,107367,11210,51916,55252
J,6/15/2019,27995,12020,152646,285509.8213,117280,11968,39599,80985
J,6/22/2019,13253,11798,104630,343945.3094,104387,10907,24157,72883
J,6/29/2019,13810,9955,200483,353431.4252,63703,9551,23773,56597
J,7/6/2019,12291,11279,267398,329614.1492,57284,11286,22496,53931
J,7/13/2019,12618,17551,319770,208220.3602,141338,15065,29623,87593
J,7/20/2019,11815,24438,270380,438922.6789,76655,14059,35612,67151
J,7/27/2019,16476,21093,274825,277732.0363,104161,12559,37175,44830
J,8/3/2019,31851,25588,134673,218163.7013,43759,10629,56639,57335
J,8/10/2019,17350,28145,173206,267341.8172,59867,11134,45108,44407
J,8/17/2019,18208,26145,199203,291468.2626,90178,10968,44070,64842
J,8/24/2019,18452,20042,235919,289868.0466,64398,11582,38690,88658
J,8/31/2019,17337,12035,149326,314657.0006,60709,10392,28506,69853
J,9/7/2019,17368,10566,247653,391915.0857,140629,8690,26682,97316
J,9/14/2019,16703,7305,144679,498693.8991,130472,9848,24070,98274
J,9/21/2019,16463,6647,148933,506186.2111,233379,9181,23907,62915
